COUNTRY,URL
egyptian,https://culturalatlas.sbs.com.au/egyptian-culture/egyptian-culture-core-concepts#egyptian-culture-core-concepts
ethiopian,https://culturalatlas.sbs.com.au/ethiopian-culture/ethiopian-culture-core-concepts#ethiopian-culture-core-concepts
kenyan,https://culturalatlas.sbs.com.au/kenyan-culture/kenyan-culture-core-concepts#kenyan-culture-core-concepts
mauritian,https://culturalatlas.sbs.com.au/mauritian-culture/mauritian-culture-core-concepts#mauritian-culture-core-concepts
somali,https://culturalatlas.sbs.com.au/somali-culture/somali-culture-core-concepts#somali-culture-core-concepts
south-african,https://culturalatlas.sbs.com.au/south-african-culture/south-african-culture-core-concepts#south-african-culture-core-concepts
south-sudanese,https://culturalatlas.sbs.com.au/south-sudanese-culture/south-sudanese-culture-core-concepts#south-sudanese-culture-core-concepts
north-sudanese,https://culturalatlas.sbs.com.au/north-sudanese-culture/north-sudanese-culture-core-concepts#north-sudanese-culture-core-concepts
zimbabwean,https://culturalatlas.sbs.com.au/zimbabwean-culture/zimbabwean-culture-core-concepts#zimbabwean-culture-core-concepts
afghan,https://culturalatlas.sbs.com.au/afghan-culture/afghan-culture-core-concepts#afghan-culture-core-concepts
bangladeshi,https://culturalatlas.sbs.com.au/bangladeshi-culture/bangladeshi-culture-core-concepts#bangladeshi-culture-core-concepts
cambodian,https://culturalatlas.sbs.com.au/cambodian-culture/cambodian-culture-core-concepts#cambodian-culture-core-concepts
chinese,https://culturalatlas.sbs.com.au/chinese-culture/chinese-culture-core-concepts#chinese-culture-core-concepts
hong-kong,https://culturalatlas.sbs.com.au/hong-kong-culture/hong-kong-culture-core-concepts#hong-kong-culture-core-concepts
indian,https://culturalatlas.sbs.com.au/indian-culture/indian-culture-core-concepts#indian-culture-core-concepts
indonesian,https://culturalatlas.sbs.com.au/indonesian-culture/indonesian-culture-core-concepts#indonesian-culture-core-concepts
japanese,https://culturalatlas.sbs.com.au/japanese-culture/japanese-culture-core-concepts#japanese-culture-core-concepts
lao,https://culturalatlas.sbs.com.au/lao-culture/lao-culture-core-concepts#lao-culture-core-concepts
malaysian,https://culturalatlas.sbs.com.au/malaysian-culture/malaysian-culture-core-concepts#malaysian-culture-core-concepts
myanmar-burmese,https://culturalatlas.sbs.com.au/myanmar-burmese-culture/myanmar-burmese-culture-core-concepts#myanmar-burmese-culture-core-concepts
nepalese,https://culturalatlas.sbs.com.au/nepalese-culture/nepalese-culture-core-concepts#nepalese-culture-core-concepts
pakistani,https://culturalatlas.sbs.com.au/pakistani-culture/pakistani-culture-core-concepts#pakistani-culture-core-concepts
filipino,https://culturalatlas.sbs.com.au/filipino-culture/filipino-culture-core-concepts#filipino-culture-core-concepts
singaporean,https://culturalatlas.sbs.com.au/singaporean-culture/singaporean-culture-core-concepts#singaporean-culture-core-concepts
south-korean,https://culturalatlas.sbs.com.au/south-korean-culture/south-korean-culture-core-concepts#south-korean-culture-core-concepts
sri-lankan,https://culturalatlas.sbs.com.au/sri-lankan-culture/sri-lankan-culture-core-concepts#sri-lankan-culture-core-concepts
taiwanese,https://culturalatlas.sbs.com.au/taiwanese-culture/taiwanese-culture-core-concepts#taiwanese-culture-core-concepts
thai,https://culturalatlas.sbs.com.au/thai-culture/thai-culture-core-concepts#thai-culture-core-concepts
