Continent,Country,Weather and Geography
africa,algeria,"Summer temperatures are high throughout the country, particularly in the south where it is both very dry and very hot. During this time, road travel is difficult and air travel prone to delay because of sandstorms. Northern cities have high humidity, while those along the coast are cooled by sea breezes. In the winter, the oases of the far south are pleasant and attract many visitors. The desert temperature drops dramatically at night. North of the Sahara, temperatures are very mild from September to May and vary little between day and night. South of the Sahara, temperatures are pleasant from October to April, but there are great variations between day and night. Coastal towns are prone to storms from the sea. Rainfall is relatively low throughout the country and in the far south it is virtually unknown. Cotton and linen lightweights are best for winter months and for evenings in desert areas. Woollens and light rainwear are advised for the winter along the coast and the Hauts Plateaux. Remember that desert temperatures can drop very low during the night, so don't get caught out with only flimsy layers. South of the Sahara, from mid-December to mid-January, temperatures drop and warm clothes are necessary both in the morning and the evening. A mountain sleeping bag is also required when camping. Algeria is situated along the North African coast, bordered to the east by Tunisia and Libya, to the southeast by Niger, to the southwest by Mali, and to the west by Mauritania and Morocco. It is Africa's second-largest country with 1,200km (750 miles) of coastline. Along the coastal strip are the main towns, fertile land, beach resorts and 90% of the population. Further south lies the area of the Hauts Plateaux mountains of up to 2,000m (6,600ft) covered in cedar, pine and cypress forests with broad arable plains dividing the plateaux. The remaining 85% of the country is the Sahara Desert in its various forms, sustaining only 500,000 people, many of whom are nomadic tribes with goat and camel herds. The Sahara region contains two mountain ranges: the dramatic Hoggar massif, rising to almost 3,000m (9,800ft) and the Tassili N’Ajjer. Both are scenically stunning and offer some of the best desert landscapes in the world."
africa,angola,"The north of the country is hot and wet during the summer months (November to April); winters are slightly cooler and mainly dry. The south is hot throughout much of the year with a slight decrease in temperature in winter (May to October). Overall, the best time to visit Angola is from June to September when rainfall is low and days are warm and sunny.   Lightweight cottons and linens throughout the year in the south. Tropical clothing for summers in the north. Nights can be cold, so warm clothing should be taken. Waterproofing is advisable for the rainy season throughout the country. Angola is bordered by the Democratic Republic of Congo to the north, Zambia to the east, Namibia to the south and the Atlantic Ocean to the west. Mountains rise from the coast, levelling to a plateau which makes up most of the country. The country is increasingly arid towards the south; the far south is on the edge of the Namib Desert. The northern plateau is thickly vegetated. Cabinda is a small enclave to the north of Angola proper, surrounded by the territories of the Democratic Republic of Congo and the Congo. The discovery of large oil deposits off the coast of the enclave has led to it becoming the centre of Angola's foreign business interests. The oil industry is based primarily at Malongo."
africa,benin,"The south has an equatorial climate with four seasons. It is hot and dry from January to April and during August, with rainy seasons through May to July and September to December. The north has more extreme temperatures, hot and dry between November and June, cooler and very wet between July and October. Lightweight cottons and linens. A light raincoat or an umbrella isnecessary in rainy seasons and warmer clothes are advised for coolevenings. Benin is situated in West Africa and is bordered to the east by Nigeria, to the north by Niger and Burkina Faso, and to the west by Togo. Benin stretches 700km (435 miles) from the Bight of Benin to the Niger River. The coastal strip is sandy with coconut palms. Beyond the lagoons of Porto Novo, Nokoue, Ouidah and Grand Popo is a plateau rising gradually to the heights of the Atakora Mountains. From the highlands run two tributaries of the Niger, while southwards the Ouémé flows down to Nokoue lagoon. Mono River flows into the sea at Grand Popo and forms a frontier with Togo."
africa,botswana,"The landlocked Botswana is semi-arid and has two main seasons: wet and dry. The dry season is from May to October. This is peak season for wildlife safari as animals are much easier to spot because the vegetation is less dense, and animals tend to congregate around waterholes. Temperatures are around 25°C (77°F), but they are at least 10 degrees cooler in the south. The Kalahari Desert, in the southwest, may experience cold and frosty early mornings and evenings too. The wet season is from November to April. November can be very hot and humid, while January and February are the wettest months. Some safari lodges and camps are closed during this period too. If you are visiting the Okavango Delta and Chobe National Park, the months from June to September are the best time. Loose, natural fabrics are recommended, with wet-weather gear and warmer clothes according to the season and area visiting. Botswana is landlocked, bordered to the south and east by South Africa, to the northeast by Zimbabwe and to the north and west by Namibia. It also touches Zambia just west of the Victoria Falls. The tableland of the Kalahari Desert covers the centre and south. The principal wildlife areas are the Okavango Delta to the northwest, the largest inland delta in the world, which includes the Moremi Game Reserve; Chobe National Park in the north, including Savute and the Linyanti Marshes; and Kgalagadi Transfrontier National Park in the far southwest, co-managed with South Africa. The majority of the population lives in the southeast around Gaborone, Serowe and Kanye along the South African border. The vast arid sandveld of the Kalahari occupies much of central and western Botswana. The seasonal rains bring a considerable difference to the vegetation, especially in the Makgadikgadi Pans and the Okavango Delta."
africa,burkina-faso,"Tropical. The dry season lasts from November to March and the rainy season from June to October. The best months are November to February when the Harmattan wind blows from the east producing dry and cool weather. However if you have allergies, avoid December to February as the Harmattan turns Burkina Faso into a dust bowl. Rainfall is highest in the southwest and lowest in the northeast. Avoid travelling in late March to May as the climate is too hot and dry to bear even for the locals. Lightweights and rainwear for the rainy season. Plenty of scarves and handkerchiefs are recommended during the months when the Harmattan blows. Burkina Faso is situated in West Africa and bordered to the north and west by Mali, to the east by Niger, to the southeast by Benin and to the south by Togo, Ghana and Côte d'Ivoire. The southern part of the country, less arid than the north, is wooded savannah, gradually drying out into sand and desert in the north. The Sahara desert is relentlessly moving south, however, stripping the savannah lands of trees and slowly turning the thin layer of cultivatable soil into sun-blackened rock-hard lakenite. Three great rivers, the Mouhoun, Nazinon and Nakambé (Black, Red and White Volta), water the great plains. The population does not live in the valleys along the river banks due to the diseases prevalent there."
africa,burundi,"A hot equatorial climate is found near Lake Tanganyika and in the Ruzizi River plain. It is often windy on the lake. The rest of the country is mild and pleasant. Burundi has two rainy seasons - the major one from February to May, with a minor rainy season between September and November, and two dry seasons: the long dry season from June to August and the shorter dry season between December and January. Lightweight cottons and linens with waterproofs for the rainy season. Warm clothes are recommended for the evening. Burundi is a land-locked country in the heart of Africa, a little south of the equator, on the eastern shore of Lake Tanganyika. It is bordered by Rwanda to the north, by the Democratic Republic of Congo to the west and by Tanzania to the south and east. The interior is a broken plateau sloping east to Tanzania and the valley of the River Malagarasi. The southern tributary of the Nile system rises in the south of the country. The landscape is characterised by hills and valleys covered with eucalyptus trees, banana groves, cultivated fields and pasture. In the east, the fertile area gives way to savannah grassland, and tea and coffee are now grown on mountainsides."
africa,cameroon,"The south is hot and dry November-February. The main rainy season is June-October. Temperatures in the north vary. On the Adamaoua Plateau, temperatures drop sharply at night; the rainy season is May-October. Grassland areas inland are much cooler than the coast with regular rainfall. The best months to visit are January- April. Lightweight cotton clothes, canvas or light leather shoes or sandals. Waterproofs are advised for coastal areas. Situated on the west coast of Africa, Cameroon is bordered to the west by the Gulf of Guinea, to the northwest by Nigeria, to the northeast by Chad (with Lake Chad at its northern tip), to the east by the Central African Republic and to the south by Congo-Brazzaville (Republic of the Congo), Gabon and Equatorial Guinea. The far north of the country is a semi-desert broadening into the vast Maroua Plain, with game reserves and mineral deposits. This is bordered to the west by the lush Mandara Mountains; the Benue River rises here and flows westwards into the Niger. The country to the northwest is particularly striking: volcanic peaks covered by bamboo forest rise to over 2,000m (6,500ft), with waterfalls and villages scattered over the lower slopes. Further to the south and west are savannah uplands, while dense forest covers the east and south. The highest peak, at 4,095m (13,434ft) is Mount Cameroon, which lies close to the coast. The humid coastal strip is tropical, with a mixture of rainforest and farmland. The River Wouri, which flows southwest into the Gulf of Guinea, inspired the country's name after 15th-century Portuguese sailor Fernando Po's spoke of the Rio dos Cameroes (river of shrimps)."
africa,cape-verde,"Cape Verde's subtropical climate makes year-round travel pleasant and worthwhile. The islands experience a windy season (Tempo de Brisas) from October to mid-July and a rainy season (Tempo das chuvas) that lasts from August to September. The islands receive sunshine year-round with the longest days from March to May. Windy season (October-July) average temperatures range between 25-29°C (77-84°F). This is the best time for surfing and other water sports in Cape Verde, and sea temperatures don't usually dip below 23°C (73°F). During rainy season (August-September), high temperatures can break 30°C (86°F) so rainfall can be a welcoming relief. Sea temperatures are warmest during this period at 27°C (81°F). The best time to visit Cape Verde is from February to June when the days are long and sunny. The temperature at this time averages around 23°C (73°F). Keep in mind that the windward islands of São Vicente, Santo Antão, São Nicolau, Santa Luzia, Sal and Boa Vista will be cooler than the leeward islands of Santiago, Maio, Fogo and Brava. Lightweight throughout the year, tropical for midsummer. Nights can get chilly, so packing a lightweight jacket might help. Walking shoes or boots are appropriate for hikes. Cape Verde is situated in the Atlantic Ocean, 620km (385 miles) off the West Coast of Africa and comprises 10 islands, 9 inhabited and one uninhabited, and five islets in two groups: Barlavento (Windwards) and Sotavento (Leewards). In the former group are the islands of São Vicente, Santo Antão, São Nicolau, Santa Luzia, Sal and Boa Vista, along with the smaller islands of Branco and Raso; the Sotavento group comprises the islands of Santiago, Maio, Fogo and Brava, along with the smaller islands of Rei and Rombo. Land varies from island to island, but most have mountain peaks; the highest being Pico do Fogo, an active volcano on Fogo. The islands in the east are generally known for flat beaches and desert land. Western islands are rockier, with steep cliffs. Much of the land in Cape Verde is infertile and lacks minerals, which forces the country to import the majority of its food and goods. Wind and water erosion also make agriculture less sustainable, though much of the workforce lies in it."
africa,central-african-republic,"Hot all year with a defined dry season. Especially hot in the north, with greater humidity in the south. The rainy season is mainly from May to October, while the driest months are January and February. Heavy rainfall is typical in the southwestern forest areas. Light, linen and tropical, waterproof clothing. The Central African Republic is bordered to the north by Chad, to the east by Sudan, to the south by the Democratic Republic of Congo and the Republic of Congo, and to the west by Cameroon. It is a large, landlocked territory of mostly uninhabited forest, bush and game reserves. The Chari River cuts through the centre from east to north; towards the Cameroon border the landscape rises to 2,000m (6,560ft) west of Bocaranga in the northwest corner, while the southwest has dense tropical rainforest. Most of the country is rolling or flat plateau covered with dry deciduous forest, except where it has been reduced to grass savannah or destroyed by bush fire. The northeast becomes desert scrubland and mountainous in parts."
africa,chad,"Chad has a hot and tropical climate, though temperatures do vary depending on area. The southern rainy season runs May-October, and the central rains from June-September. The north has very little rain all year. The dry season is often windy, and cooler during the evenings. Airy linens, and good waterproof clothing. Chad is situated in central Africa, bordered by Libya to the north, Niger, Nigeria and Cameroon to the west, the Central African Republic to the south, and Sudan to the east. The topography ranges from equatorial forests to the driest of deserts. In the northeast lies Ennedi, and to the north the volcanic Tibesti range - largely sheer cliffs, ravines and canyons set among Saharan sand dunes."
