Continent,Country,URL
africa,algeria,https://www.worldtravelguide.net/guides/africa/algeria/
africa,angola,https://www.worldtravelguide.net/guides/africa/angola/
africa,benin,https://www.worldtravelguide.net/guides/africa/benin/
africa,botswana,https://www.worldtravelguide.net/guides/africa/botswana/
africa,burkina-faso,https://www.worldtravelguide.net/guides/africa/burkina-faso/
africa,burundi,https://www.worldtravelguide.net/guides/africa/burundi/
africa,cameroon,https://www.worldtravelguide.net/guides/africa/cameroon/
africa,cape-verde,https://www.worldtravelguide.net/guides/africa/cape-verde/
africa,central-african-republic,https://www.worldtravelguide.net/guides/africa/central-african-republic/
africa,chad,https://www.worldtravelguide.net/guides/africa/chad/
africa,comoros,https://www.worldtravelguide.net/guides/africa/comoros/
africa,democratic-republic-of-congo,https://www.worldtravelguide.net/guides/africa/democratic-republic-of-congo/
africa,djibouti,https://www.worldtravelguide.net/guides/africa/djibouti/
africa,egypt,https://www.worldtravelguide.net/guides/africa/egypt/
africa,equatorial-guinea,https://www.worldtravelguide.net/guides/africa/equatorial-guinea/
africa,eritrea,https://www.worldtravelguide.net/guides/africa/eritrea/
africa,eswatini,https://www.worldtravelguide.net/guides/africa/eswatini/
africa,ethiopia,https://www.worldtravelguide.net/guides/africa/ethiopia/
africa,gabon,https://www.worldtravelguide.net/guides/africa/gabon/
africa,gambia,https://www.worldtravelguide.net/guides/africa/gambia/
africa,ghana,https://www.worldtravelguide.net/guides/africa/ghana/
africa,guinea,https://www.worldtravelguide.net/guides/africa/guinea/
africa,guinea-bissau,https://www.worldtravelguide.net/guides/africa/guinea-bissau/
africa,ivory-coast,https://www.worldtravelguide.net/guides/africa/ivory-coast/
africa,kenya,https://www.worldtravelguide.net/guides/africa/kenya/
africa,lesotho,https://www.worldtravelguide.net/guides/africa/lesotho/
africa,liberia,https://www.worldtravelguide.net/guides/africa/liberia/
africa,libya,https://www.worldtravelguide.net/guides/africa/libya/
africa,madagascar,https://www.worldtravelguide.net/guides/africa/madagascar/
africa,malawi,https://www.worldtravelguide.net/guides/africa/malawi/
africa,mali,https://www.worldtravelguide.net/guides/africa/mali/
africa,mauritania,https://www.worldtravelguide.net/guides/africa/mauritania/
africa,mauritius,https://www.worldtravelguide.net/guides/africa/mauritius/
africa,morocco,https://www.worldtravelguide.net/guides/africa/morocco/
africa,mozambique,https://www.worldtravelguide.net/guides/africa/mozambique/
africa,namibia,https://www.worldtravelguide.net/guides/africa/namibia/
africa,niger,https://www.worldtravelguide.net/guides/africa/niger/
africa,nigeria,https://www.worldtravelguide.net/guides/africa/nigeria/
africa,republic-of-congo,https://www.worldtravelguide.net/guides/africa/republic-of-congo/
africa,rwanda,https://www.worldtravelguide.net/guides/africa/rwanda/
africa,sao-tome-e-principe,https://www.worldtravelguide.net/guides/africa/sao-tome-e-principe/
africa,senegal,https://www.worldtravelguide.net/guides/africa/senegal/
africa,seychelles,https://www.worldtravelguide.net/guides/africa/seychelles/
africa,sierra-leone,https://www.worldtravelguide.net/guides/africa/sierra-leone/
africa,somalia,https://www.worldtravelguide.net/guides/africa/somalia/
africa,south-africa,https://www.worldtravelguide.net/guides/africa/south-africa/
africa,south-sudan,https://www.worldtravelguide.net/guides/africa/south-sudan/
africa,sudan,https://www.worldtravelguide.net/guides/africa/sudan/
africa,tanzania,https://www.worldtravelguide.net/guides/africa/tanzania/
africa,togo,https://www.worldtravelguide.net/guides/africa/togo/
