CLUE_ID,text,ISO2,clue_type,ISO3
0,"In Street View, if the sun is clearly in the Northern Hemisphere then you are probably in the Southern Hemisphere and vice versa.",[],0,[]
1,If the tip of a shadow is pointing south then you are likely in the Southern Hemisphere and if a shadow tip points north then you are probably in the Northern Hemisphere.,[],0,[]
2,The direction that the shadow’s tip points generally indicates what hemisphere we are in- in this case the Northern Hemisphere.,[],0,[]
3,If the sun is in the Northern Hemisphere then you are in the Southern Hemisphere and vice versa.,[],0,[]
4,On some occasions the sun will appear overhead and you will then possibly be between the Tropic of Capricorn and Tropic of Cancer.,[],0,[]
5,If a satellite dish points south then you are likely in the Northern Hemisphere and vice versa.,[],0,[]
6,On occasions I have played a timed round and stumbled across a satellite dish in Brazil and its angle has helped me determine an approximate latitude.,['BR'],0,['BRA']
7,This indicates that we are in the Northern Hemisphere and probably relatively far north.,[],0,[]
8,"As a general rule, countries of British origin (not Canada) drive on the left hand side of the road as well as island countries (not the Philippines or Iceland).","['CA', 'GB', 'IS', 'PH']",0,"['CAN', 'GBR', 'ISL', 'PHL']"
9,"For some reason only the sensible USA, UK and the might of Liberia and Myanmar use miles.","['GB', 'LR', 'MM', 'US']",0,"['GBR', 'LBR', 'MMR', 'USA']"
10,"If you see miles, then you are probably in the USA or UK.","['GB', 'US']",0,"['GBR', 'USA']"
11,This technique is especially useful for distinguishing Canada from the USA.,"['CA', 'US']",0,"['CAN', 'USA']"
12,Yellow centre lines are prevalent from the top of North America to the base of South America (an exception is that most of Chile has white lines).,['CL'],0,['CHL']
13,The odds are if you see a yellow centre line you are somewhere on the American continents.,['US'],0,['USA']
14,A faded yellow middle line normally indicates Mexico or a country south of this.,['MX'],0,['MEX']
15,South Africa also has the occasional yellow centre line as does Japan.,"['JP', 'ZA']",0,"['JPN', 'ZAF']"
16,White centre lines are more predominant throughout Europe and Australia.,['AU'],0,['AUS']
17,Most of North and South America have some iteration of yellow centre lines.,[],0,[]
18,Most European and Australian roads have some form of white centre lines.,['AU'],0,['AUS']
19,"Dashed white lines on the edges of roads are quite common in the countries of Denmark, Norway, Iceland and Sweden.","['DK', 'IS', 'NO', 'SE']",0,"['DNK', 'ISL', 'NOR', 'SWE']"
20,Norway tends to have yellow centre lines and Sweden tends to have white centre lines.,"['NO', 'SE']",0,"['NOR', 'SWE']"
21,Finland often has centre yellow lines and centre white dashed lines; it doesn’t have dashed lines on the edges of its roads.,['FI'],0,['FIN']
22,Russia has a road line that is thinner than other country’s road lines.,['RU'],0,['RUS']
23,One such exception is that parts of France occasionally pop up with dashed white street lines.,['FR'],0,['FRA']
